Symbol,Sector,Shares Outstanding,Market Price,Percent Change,Last Trade On,52 Week Low/High,180 Day Average,120 Day Average,One Year Yield,EPS,P/E Ratio,Book Value,P/B Ratio,Dividend,180Change,Technical Quality,Fundamental Health,Final Rating
NABIL,Commercial Banks,"270,569,970.00",529.00,0.38 %,2026/03/12 02:59:56,562.00-471.00,503.55,500.70,7.74%,"35.18                                                                    (FY:082-083, Q:2)",15.04,235.64,2.24,12.50                                                                    (FY:081-082),5.05,0.3626,0.1425,0.2525
NIMB,Commercial Banks,"341,285,950.00",215.10,3.96 %,2026/03/12 02:59:59,247.00-184.20,195.54,193.42,-2.23%,"9.45                                                                    (FY:082-083, Q:2)",22.76,194.77,1.10,,10.00,0.5080,0.2170,0.3625
SCB,Commercial Banks,"100,423,680.00",668.00,0.45 %,2026/03/12 02:59:36,712.60-594.90,635.46,638.10,1.66%,"27.35                                                                    (FY:082-083, Q:2)",24.42,210.97,3.17,19.00                                                                    (FY:081-082),5.12,0.3789,0.0958,0.2374
HBL,Commercial Banks,"225,816,625.32",216.30,4.49 %,2026/03/12 02:59:58,261.00-184.00,193.14,191.37,-10.25%,"11.45                                                                    (FY:082-083, Q:2)",18.89,174.23,1.24,,11.99,0.5805,0.2036,0.3921
SBI,Commercial Banks,"113,351,243.90",419.00,1.7 %,2026/03/12 02:59:39,452.00-363.00,400.00,403.28,0.48%,"18.20                                                                    (FY:082-083, Q:2)",23.02,189.52,2.21,5.00                                                                    (FY:081-082),4.75,0.3708,0.1252,0.2480
EBL,Commercial Banks,"137,213,760.00",706.00,0.86 %,2026/03/12 02:59:46,780.60-594.00,659.50,660.04,14.05%,"30.86                                                                    (FY:082-083, Q:2)",22.88,235.04,3.00,14.00                                                                    (FY:081-082),7.05,0.3998,0.1016,0.2507
NICA,Commercial Banks,"149,175,669.22",349.70,1.66 %,2026/03/12 02:59:59,428.40-304.50,326.72,328.31,-8.93%,"1.76                                                                    (FY:082-083, Q:2)",198.69,198.33,1.76,,7.03,0.6352,0.1177,0.3765
MBL,Commercial Banks,"120,862,115.64",250.50,2.66 %,2026/03/12 02:59:50,272.10-205.00,222.03,224.24,8.91%,"16.73                                                                    (FY:082-083, Q:2)",14.97,161.63,1.55,4.00                                                                    (FY:081-082),12.82,0.3219,0.1825,0.2522
LSL,Commercial Banks,"267,811,630.00",224.70,3.03 %,2026/03/12 02:59:58,252.00-201.00,219.76,218.66,-1.45%,"-2.04                                                                    (FY:082-083, Q:2)",-110.15,166.23,1.35,0.53                                                                    (FY:081-082),2.25,0.5353,0.1409,0.3381
KBL,Commercial Banks,"262,258,613.40",223.00,5.69 %,2026/03/12 02:59:58,233.50-175.50,185.21,184.85,6.19%,"20.74                                                                    (FY:082-083, Q:2)",10.75,151.16,1.48,,20.40,0.1810,0.2095,0.1952
